Unnamed: 0,periodStartUnix,liquidity,open,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken0,pool.totalValueLockedToken1,pool.token0.decimals,pool.token1.decimals,note
68,1628020800,7171042436972,2.6264697642e-05,2.63370437337e-05,2.6264697642e-05,2.63161513484e-05,559758452568784787557852026361048107,206094428663241388296623381874021714464,68933741.36238897,1157.50697069,35058831.559686,8,6,
69,1628024400,7265485056041,2.6306820305e-05,2.6306820305e-05,2.61443360237e-05,2.61443360237e-05,559794620654814730136244016297420709,206140832499336479583670122284506297355,68933741.36238897,1157.50697069,35058831.559686,8,6,
70,1628028000,6346813884233,2.61406675851e-05,2.61406675851e-05,2.60337108254e-05,2.60879239663e-05,559848989041674645144813079458011228,206202408367807141278036348523415792200,68933741.36238897,1157.50697069,35058831.559686,8,6,
71,1628031600,6346813884233,2.60531864241e-05,2.61682145165e-05,2.59680360915e-05,2.61682145165e-05,559995535267381693940507583724762211,206248630667673530099014893959988827860,68933741.36238897,1157.50697069,35058831.559686,8,6,
72,1628035200,6346813884219,2.61682145165e-05,2.62591912421e-05,2.60671089058e-05,2.60671089058e-05,560141743509284787087348925308142002,206322235836998809493827959185546277030,68933741.36238897,1157.50697069,35058831.559686,8,6,
73,1628038800,6346813884218,2.60671089058e-05,2.60671089058e-05,2.59641208763e-05,2.59914628255e-05,560184134381393702727493472912198783,206362254302769012064675345059837681335,68933741.36238897,1157.50697069,35058831.559686,8,6,
74,1628042400,6363350476022,2.60311308918e-05,2.61816008048e-05,2.60311308918e-05,2.61816008048e-05,560374723197091872949294881440994954,206367995640214651736464158106763821832,68933741.36238897,1157.50697069,35058831.559686,8,6,
75,1628046000,6296312614070,2.62179460378e-05,2.63602380354e-05,2.62179460378e-05,2.63602380354e-05,560525901507039306722361702744519196,206367995640214651736464158106763821832,68933741.36238897,1157.50697069,35058831.559686,8,6,
76,1628049600,6296196980523,2.63882037843e-05,2.63886343741e-05,2.63584840533e-05,2.63584840533e-05,560581462329635445440457800822603475,206379392217974020460178074873123196061,68933741.36238897,1157.50697069,35058831.559686,8,6,
77,1628053200,6327504407378,2.62944949242e-05,2.62944949242e-05,2.6167670475e-05,2.62390508167e-05,560653484289506321917406076018109264,206452377731757860355126035169023374947,68933741.36238897,1157.50697069,35058831.559686,8,6,
78,1628056800,6296196980523,2.62854988948e-05,2.63812052369e-05,2.62315287634e-05,2.63700666487e-05,560934092997348922240076469729155606,206509171407003855010963666512429237052,68933741.36238897,1157.50697069,35058831.559686,8,6,
79,1628060400,6296196980523,2.64249597024e-05,2.64342295536e-05,2.6296616931e-05,2.64320775633e-05,561215215793908405215857671406057741,206592320727768010867421660073237072568,68933741.36238897,1157.50697069,35058831.559686,8,6,
80,1628064000,5979720358011,2.64320775633e-05,2.65515961546e-05,2.64273487699e-05,2.65515961546e-05,561270724884946602715696487752740989,206594102479587157347870875209926776528,68933741.36238897,1157.50697069,35058831.559686,8,6,
81,1628067600,6329951280137,2.65509118285e-05,2.65509118285e-05,2.64485845659e-05,2.6456685391e-05,561338806753514291202363170136213930,206632761569512954239191376398313871254,68933741.36238897,1157.50697069,35058831.559686,8,6,
82,1628071200,6361258706992,2.64459980128e-05,2.64459980128e-05,2.62883477533e-05,2.62883477533e-05,561346870378774458458004174576471161,206680425017636382212660772039521515660,68933741.36238897,1157.50697069,35058831.559686,8,6,
83,1628074800,6361258706992,2.62469664211e-05,2.62469664211e-05,2.62469664211e-05,2.62469664211e-05,561346870378774458458004174576471161,206696396002693623823613353273097822006,68933741.36238897,1157.50697069,35058831.559686,8,6,
84,1628078400,7285408100340,2.62141763547e-05,2.62141763547e-05,2.58092410286e-05,2.58092410286e-05,561399438994971834760600143251571931,206901223222166766923647742645673899493,68933741.36238897,1157.50697069,35058831.559686,8,6,
85,1628082000,7289135981630,2.58020651755e-05,2.58020651755e-05,2.53643449406e-05,2.55576730938e-05,561622522347314791944800334609043010,207087746202195802027080694053462361855,68933741.36238897,1157.50697069,35058831.559686,8,6,
86,1628085600,6526766068397,2.55621696408e-05,2.55621696408e-05,2.53597210187e-05,2.54119700936e-05,561680166538254851452717303512832058,207168421926929390201184980074534177623,68933741.36238897,1157.50697069,35058831.559686,8,6,
87,1628089200,6688281532217,2.53944988131e-05,2.53944988131e-05,2.51686985153e-05,2.53393703052e-05,561838776642703019327631945030775480,207266348677252544720879551966476734692,68933741.36238897,1157.50697069,35058831.559686,8,6,
88,1628092800,6579930150803,2.533816711e-05,2.53456055741e-05,2.49162168985e-05,2.49439610987e-05,561974365888136287128557389294923346,207486123690629437721392484145811958755,68933741.36238897,1157.50697069,35058831.559686,8,6,
89,1628096400,6709591633169,2.49963371215e-05,2.53173435792e-05,2.49963371215e-05,2.53173435792e-05,562382589532725413448900619333813456,207486123690629437721392484145811958755,68933741.36238897,1157.50697069,35058831.559686,8,6,
90,1628100000,6874115312831,2.53187867939e-05,2.53187867939e-05,2.52068438707e-05,2.52094208577e-05,562388231164576813084329982637547040,207531258426110317523549680735598056331,68933741.36238897,1157.50697069,35058831.559686,8,6,
91,1628103600,7138969257809,2.52113285611e-05,2.52497722749e-05,2.51854997676e-05,2.51854997676e-05,562429359389019704936320343249194543,207548644447689965579102520636097495803,68933741.36238897,1157.50697069,35058831.559686,8,6,
92,1628107200,6874115312831,2.51854997676e-05,2.51854997676e-05,2.51680777507e-05,2.51717700912e-05,562429359389019704936320343249194543,207564302814666770399333160523141675380,68933741.36238897,1157.50697069,35058831.559686,8,6,
93,1628110800,6858041306495,2.51717700912e-05,2.51717700912e-05,2.51217151729e-05,2.51217151729e-05,562440265924698266692712474578154826,207586750903075491760344145312491283436,68933741.36238897,1157.50697069,35058831.559686,8,6,
94,1628114400,6845886341351,2.50911065947e-05,2.52312085435e-05,2.49796948498e-05,2.52312085435e-05,562691113662574558243058590956246833,207645456094987377515691335039541022662,68933741.36238897,1157.50697069,35058831.559686,8,6,
95,1628118000,6845886341351,2.52041183096e-05,2.52041183096e-05,2.51253585898e-05,2.51253585898e-05,562697255100768026624371775519937254,207688213430688519518982295170735788101,68933741.36238897,1157.50697069,35058831.559686,8,6,
96,1628121600,6834657288166,2.52024722264e-05,2.52024722264e-05,2.51639598897e-05,2.51993001763e-05,562811703247890035477606312643251990,207703950861920755437402688123217094429,68933741.36238897,1157.50697069,35058831.559686,8,6,
97,1628125200,7068701110720,2.52335020212e-05,2.54964508866e-05,2.52335020212e-05,2.53602858295e-05,563114175316441754693779861013924588,207758316616913266632726135720365369647,68933741.36238897,1157.50697069,35058831.559686,8,6,
98,1628128800,6875878220045,2.53609166654e-05,2.54095749238e-05,2.53609166654e-05,2.54095749238e-05,563157161976145125172647329917572299,207758316616913266632726135720365369647,68933741.36238897,1157.50697069,35058831.559686,8,6,
99,1628132400,6934496492494,2.53988171339e-05,2.53988171339e-05,2.53361894134e-05,2.53761035532e-05,563204840279275530981433982414391724,207787712853263921061671529563200832253,68933741.36238897,1157.50697069,35058831.559686,8,6,
100,1628136000,6936145444299,2.53669197399e-05,2.53693289901e-05,2.53669197399e-05,2.53693289901e-05,563205223971978208675688608027490760,207791391932026938193290249840701090149,68933741.36238897,1157.50697069,35058831.559686,8,6,
101,1628139600,6954113156414,2.53693289901e-05,2.53693289901e-05,2.53693289901e-05,2.53693289901e-05,563207289269944878612107381721422897,207791391932026938193290249840701090149,68933741.36238897,1157.50697069,35058831.559686,8,6,
102,1628143200,6964393681936,2.54165192907e-05,2.55890829006e-05,2.54165192907e-05,2.55890829006e-05,563409380878833225481661990745869527,207791391932026938193290249840701090149,68933741.36238897,1157.50697069,35058831.559686,8,6,
103,1628146800,6883282334335,2.55890829006e-05,2.56758580367e-05,2.55890829006e-05,2.56758580367e-05,563476191026891808277448816006097289,207791391932026938193290249840701090149,68933741.36238897,1157.50697069,35058831.559686,8,6,
104,1628150400,5959081360828,2.56754811487e-05,2.58869512496e-05,2.56754811487e-05,2.58869512496e-05,563731145046216321012695978140174335,207791540240210618332909648064422098554,68933741.36238897,1157.50697069,35058831.559686,8,6,
105,1628154000,5597401750363,2.58892846523e-05,2.6298954638e-05,2.58892846523e-05,2.6298954638e-05,564236890234432372295442581249084151,207827194248288966460963070047263538106,68933741.36238897,1157.50697069,35058831.559686,8,6,
106,1628157600,5597401750363,2.61027245844e-05,2.63390032502e-05,2.61027245844e-05,2.62568866614e-05,564480725508524061464194025874027325,207918473433054422719501208691064627593,68933741.36238897,1157.50697069,35058831.559686,8,6,
107,1628161200,5565817066208,2.62321069951e-05,2.62453109786e-05,2.61982048316e-05,2.62453109786e-05,564480725508524061464194025874027325,207958546268821547846140160258540966337,68933741.36238897,1157.50697069,35058831.559686,8,6,
108,1628164800,5565817066208,2.63137065222e-05,2.66900118793e-05,2.62578256137e-05,2.63777830393e-05,565179289924597522464485012014142678,208091355770269765205881718349408216829,68933741.36238897,1157.50697069,35058831.559686,8,6,
109,1628168400,5565817066208,2.63487387655e-05,2.64570505989e-05,2.62576359179e-05,2.62576359179e-05,565354096534839957236760164176220809,208266271864429293630128818226863418127,68933741.36238897,1157.50697069,35058831.559686,8,6,
110,1628172000,6707994800010,2.62271495988e-05,2.62271495988e-05,2.55256618479e-05,2.56194157619e-05,565805881431197335461972154919847921,208691146076976405922159493368801592957,68933741.36238897,1157.50697069,35058831.559686,8,6,
111,1628175600,6702689014447,2.5632037809e-05,2.57861597351e-05,2.54898029693e-05,2.57861597351e-05,566061270086861499751477941623499374,208763164135910605667497237206225976198,68933741.36238897,1157.50697069,35058831.559686,8,6,
112,1628179200,6478238136968,2.57628473629e-05,2.57628473629e-05,2.52739629548e-05,2.52739629548e-05,566186929804861275255600896605294665,208945906295328713168386772034273166436,68933741.36238897,1157.50697069,35058831.559686,8,6,
113,1628182800,6244902881596,2.52077520664e-05,2.52077520664e-05,2.46173934279e-05,2.46173934279e-05,566358573003779845194822096801530590,209286738133446952086505643775952577896,68933741.36238897,1157.50697069,35058831.559686,8,6,
114,1628186400,6116762231500,2.46294130037e-05,2.46584115836e-05,2.44928864303e-05,2.44928864303e-05,566400879950835039403561209110278742,209376608162689576208198055537547458827,68933741.36238897,1157.50697069,35058831.559686,8,6,
115,1628190000,6119165281155,2.44928864303e-05,2.45508423936e-05,2.39371104801e-05,2.45104371563e-05,567041559373827263908903019554090753,209624820999468704215026578285382763669,68933741.36238897,1157.50697069,35058831.559686,8,6,
116,1628193600,6116762231500,2.44236398431e-05,2.44236398431e-05,2.44177888299e-05,2.44177888299e-05,567041559373827263908903019554090753,209680229551501217668424564562784257177,68933741.36238897,1157.50697069,35058831.559686,8,6,
117,1628197200,6013897266865,2.44177888299e-05,2.44689637936e-05,2.42865963654e-05,2.44301593626e-05,567173622179679685377095947771147802,209758063110272659168085075557381531236,68933741.36238897,1157.50697069,35058831.559686,8,6,
118,1628200800,6013897266865,2.44055393923e-05,2.44261090497e-05,2.44048398482e-05,2.44141349807e-05,567265509324376037932461778810349717,209768806447531101853529324763168786195,68933741.36238897,1157.50697069,35058831.559686,8,6,
119,1628204400,6013897266865,2.44146901037e-05,2.44146901037e-05,2.44146901037e-05,2.44146901037e-05,567265509324376037932461778810349717,209773886352373306648610901652301271896,68933741.36238897,1157.50697069,35058831.559686,8,6,
120,1628208000,6629886035179,2.44939832577e-05,2.48866251713e-05,2.44939832577e-05,2.48866251713e-05,567660272360746321731737549472639497,209774761364897405649489850303853518991,68933741.36238897,1157.50697069,35058831.559686,8,6,
121,1628211600,6357196301778,2.49464100657e-05,2.49464100657e-05,2.46267078693e-05,2.46267078693e-05,567911438533687050084081072209170989,209931496124933093770905065645413858326,68933741.36238897,1157.50697069,35058831.559686,8,6,
122,1628215200,6404829436135,2.46686982997e-05,2.47897048448e-05,2.46686982997e-05,2.47728399259e-05,568152348663659906453033552991353422,209982364828921429177316444453769421067,68933741.36238897,1157.50697069,35058831.559686,8,6,
123,1628218800,7070106518820,2.47634856784e-05,2.48021327063e-05,2.46523435151e-05,2.48021327063e-05,568305479091174456675726490912211930,210032579870922027187301384143190996712,68933741.36238897,1157.50697069,35058831.559686,8,6,
124,1628222400,7211169710788,2.48030981813e-05,2.49463566281e-05,2.48030981813e-05,2.49463566281e-05,568454611392951032330540223737834533,210032579870922027187301384143190996712,68933741.36238897,1157.50697069,35058831.559686,8,6,
125,1628226000,6420368096415,2.48821385441e-05,2.48821385441e-05,2.47618370984e-05,2.47618370984e-05,568454611392951032330540223737834533,210108748629085678858917159908646894715,68933741.36238897,1157.50697069,35058831.559686,8,6,
